obsnme,obsval,weight,obgnme,extra,standard_deviation
wq1_t_9,16.0313,1.923076923076923,temp_1,,0.52
wq1_t_10,17.6644,1.923076923076923,temp_1,,0.52
wq1_t_11,16.3492,1.923076923076923,temp_1,,0.52
wq1_t_12,14.8675,1.923076923076923,temp_1,,0.52
wq1_t_13,15.0,1.923076923076923,temp_1,,0.52
wq1_t_14,14.794,1.923076923076923,temp_1,,0.52
wq1_t_15,17.4872,1.923076923076923,temp_1,,0.52
wq1_t_16,17.6,1.923076923076923,temp_1,,0.52
wq1_t_17,22.1,1.923076923076923,temp_1,,0.52
wq1_t_18,20.3,1.923076923076923,temp_1,,0.52
wq1_t_19,18.1,1.923076923076923,temp_1,,0.52
wq1_t_20,20.5,1.923076923076923,temp_1,,0.52
wq1_t_21,18.6,1.923076923076923,temp_1,,0.52
wq1_t_22,19.2,1.923076923076923,temp_1,,0.52
wq1_t_23,22.1,1.923076923076923,temp_1,,0.52
wq1_t_24,20.1,1.923076923076923,temp_1,,0.52
wq1_t_25,23.0,1.923076923076923,temp_1,,0.52
wq1_t_26,24.7,1.923076923076923,temp_1,,0.52
wq1_t_27,24.1,1.923076923076923,temp_1,,0.52
wq1_t_28,25.3,1.923076923076923,temp_1,,0.52
wq1_t_29,25.6,1.923076923076923,temp_1,,0.52
wq1_t_30,27.4,1.923076923076923,temp_1,,0.52
wq1_t_31,26.6,1.923076923076923,temp_1,,0.52
wq1_t_32,28.5,1.923076923076923,temp_1,,0.52
wq1_t_33,24.5,1.923076923076923,temp_1,,0.52
wq1_t_34,24.4,1.923076923076923,temp_1,,0.52
wq1_t_35,24.9,1.923076923076923,temp_1,,0.52
wq1_t_36,26.7,1.923076923076923,temp_1,,0.52
wq1_t_37,24.1,1.923076923076923,temp_1,,0.52
wq1_t_38,21.5,1.923076923076923,temp_1,,0.52
wq1_t_39,19.5,1.923076923076923,temp_1,,0.52
wq1_t_40,21.5,1.923076923076923,temp_1,,0.52
wq1_t_41,23.1,1.923076923076923,temp_1,,0.52
wq1_t_42,20.9,1.923076923076923,temp_1,,0.52
wq1_t_43,14.0,1.923076923076923,temp_1,,0.52
wq1_t_44,2.6,1.923076923076923,temp_1,,0.52
wq1_t_45,6.3,1.923076923076923,temp_1,,0.52
wq1_t_46,10.9,1.923076923076923,temp_1,,0.52
wq1_t_47,9.9,1.923076923076923,temp_1,,0.52
wq1_t_48,14.7933,1.923076923076923,temp_1,,0.52
wq1_t_49,13.5007,1.923076923076923,temp_1,,0.52
wq1_t_50,14.1616,1.923076923076923,temp_1,,0.52
wq1_t_51,16.6785,1.923076923076923,temp_1,,0.52
wq1_t_52,19.9103,1.923076923076923,temp_1,,0.52
wq1_t_53,20.9199,1.923076923076923,temp_1,,0.52
wq1_t_54,23.5748,1.923076923076923,temp_1,,0.52
wq1_t_55,21.7405,1.923076923076923,temp_1,,0.52
wq1_t_56,19.8,1.923076923076923,temp_1,,0.52
wq1_t_57,20.331,1.923076923076923,temp_1,,0.52
wq1_t_58,20.0947,1.923076923076923,temp_1,,0.52
wq1_t_59,20.8529,1.923076923076923,temp_1,,0.52
wq1_t_60,23.1671,1.923076923076923,temp_1,,0.52
wq1_t_61,22.7822,1.923076923076923,temp_1,,0.52
wq1_t_62,24.68,1.923076923076923,temp_1,,0.52
wq1_t_63,23.1242,1.923076923076923,temp_1,,0.52
wq1_t_64,24.4994,1.923076923076923,temp_1,,0.52
wq1_t_65,26.4212,1.923076923076923,temp_1,,0.52
wq1_t_66,26.2063,1.923076923076923,temp_1,,0.52
wq1_t_67,23.8528,1.923076923076923,temp_1,,0.52
wq1_t_68,25.5154,1.923076923076923,temp_1,,0.52
wq1_t_69,27.0201,1.923076923076923,temp_1,,0.52
wq1_t_70,25.7468,1.923076923076923,temp_1,,0.52
wq1_t_71,27.2692,1.923076923076923,temp_1,,0.52
wq1_t_72,26.7712,1.923076923076923,temp_1,,0.52
wq1_t_73,25.1816,1.923076923076923,temp_1,,0.52
wq1_t_74,25.3062,1.923076923076923,temp_1,,0.52
wq1_t_75,25.6,1.923076923076923,temp_1,,0.52
wq1_t_76,25.0658,1.923076923076923,temp_1,,0.52
wq1_t_77,26.1238,1.923076923076923,temp_1,,0.52
wq1_t_78,26.3115,1.923076923076923,temp_1,,0.52
wq1_t_79,26.4705,1.923076923076923,temp_1,,0.52
wq1_t_80,26.3,1.923076923076923,temp_1,,0.52
wq1_t_81,25.4828,1.923076923076923,temp_1,,0.52
wq1_t_82,26.2019,1.923076923076923,temp_1,,0.52
wq1_t_83,25.8152,1.923076923076923,temp_1,,0.52
wq1_t_84,23.8242,1.923076923076923,temp_1,,0.52
wq1_t_85,24.5103,1.923076923076923,temp_1,,0.52
wq1_t_86,25.9928,1.923076923076923,temp_1,,0.52
wq1_t_87,26.5807,1.923076923076923,temp_1,,0.52
wq1_t_88,23.9875,1.923076923076923,temp_1,,0.52
wq1_t_89,23.7735,1.923076923076923,temp_1,,0.52
wq1_t_90,22.5649,1.923076923076923,temp_1,,0.52
wq1_t_91,23.8721,1.923076923076923,temp_1,,0.52
wq1_t_92,22.0204,1.923076923076923,temp_1,,0.52
wq1_t_93,20.8297,1.923076923076923,temp_1,,0.52
wq1_t_94,21.9599,1.923076923076923,temp_1,,0.52
wq1_t_95,22.8504,1.923076923076923,temp_1,,0.52
wq1_t_96,17.3319,1.923076923076923,temp_1,,0.52
wq1_t_97,15.879,1.923076923076923,temp_1,,0.52
wq1_t_98,15.3,1.923076923076923,temp_1,,0.52
wq1_t_99,14.3858,1.923076923076923,temp_1,,0.52
wq1_t_100,12.0927,1.923076923076923,temp_1,,0.52
wq1_t_101,12.5746,1.923076923076923,temp_1,,0.52
wq1_t_102,12.933,1.923076923076923,temp_1,,0.52
wq1_t_103,8.1398,1.923076923076923,temp_1,,0.52
wq1_t_104,2.3,1.923076923076923,temp_1,,0.52
wq1_t_105,4.8756,1.923076923076923,temp_1,,0.52
