time,FLOW,TEMP,SALT,elevation,TRC_tr1,TRC_age,NCS_ss1,NCS_ss2,OXY_oxy,CAR_dic,CAR_pH,CAR_ch4,CAR_ch4_bub,SIL_rsi,NIT_amm,NIT_nit,PHS_frp,PHS_frp_ads,OGM_doc,OGM_poc,OGM_don,OGM_pon,OGM_dop,OGM_pop,OGM_docr,OGM_donr,OGM_dopr,OGM_cpom,PHY_cyano,PHY_cyano_IN,PHY_cyano_IP,PHY_green,PHY_green_IN,PHY_green_IP,PHY_diatom,PHY_diatom_IN,PHY_diatom_IP,BIV_filtfrac
2015-07-27,0.014133333,14.50706279,0,0.4,0,0,0,0,447.8470584,88.1304,6.17,0.0323,0,102.6964,16.1863,0.1452,0.0421,0.0084,21.6486,31.3905,1.1212,2.2424,0.0159,0.3706,292.2565,10.0907,0.1429,31.3905,0,0,0,0,0,0,0,0,0,0
2015-07-28,0.014133333,14.52468201,0,0.5,0,0,0,0,383.8689072,88.1572,6.17,0.0282,0,102.6964,17.0732,0.1452,0.0436,0.0087,21.5297,31.218,1.1826,2.3651,0.0157,0.3666,290.6506,10.6431,0.1414,31.218,0,0,0,0,0,0,0,0,0,0
2015-07-29,0.014133333,14.54230123,0,0.5,0,0,0,0,383.8689072,88.1841,6.17,0.0242,0,102.6964,17.9601,0.1452,0.0451,0.009,21.4107,31.0456,1.244,2.4879,0.0155,0.3627,289.0448,11.1956,0.1399,31.0456,0,0,0,0,0,0,0,0,0,0
2015-07-30,0.014133333,14.55992045,0,0.5,0,0,0,0,383.8689072,88.2109,6.17,0.0202,0,102.6964,18.847,0.1452,0.0466,0.0093,21.2918,30.8731,1.3053,2.6107,0.0154,0.3587,287.439,11.748,0.1384,30.8731,0,0,0,0,0,0,0,0,0,0
2015-07-31,0.014133333,14.57138479,0,0.5,0,0,0,0,383.8689072,88.2377,6.17,0.0161,0,102.6964,19.7339,0.1452,0.0481,0.0096,21.1728,30.7006,1.3667,2.7334,0.0152,0.3547,285.8332,12.3004,0.1368,30.7006,0,0,0,0,0,0,0,0,0,0
2015-08-01,0.014133333,14.58284912,0,0.5,0,0,0,0,383.8689072,88.2645,6.17,0.0121,0,102.6964,20.6208,0.1452,0.0496,0.0099,21.0539,30.5281,1.4281,2.8562,0.015,0.3508,284.2274,12.8528,0.1353,30.5281,0,0,0,0,0,0,0,0,0,0
2015-08-02,0.014133333,14.59431345,0,0.1,0,0,0,0,383.8689072,88.2913,6.17,0.008,0,102.6964,21.5078,0.1452,0.0511,0.0102,20.9349,30.3557,1.4895,2.9789,0.0149,0.3468,282.6216,13.4052,0.1338,30.3557,0,0,0,0,0,0,0,0,0,0
2015-08-03,0.014133333,14.60577778,0,0.1,0,0,0,0,383.8689072,88.3182,6.17,0.004,0,102.6964,22.3947,0.1452,0.0526,0.0105,20.816,30.1832,1.5508,3.1017,0.0147,0.3429,281.0158,13.9576,0.1322,30.1832,0,0,0,0,0,0,0,0,0,0
2015-08-04,0.014133333,14.61174946,0,0.1,0,0,0,0,383.8689072,88.345,6.17,0.0047,0,102.6964,23.5746,0.1521,0.0526,0.0105,20.5781,29.8382,1.508,3.016,0.0143,0.3342,277.8042,13.5718,0.1289,29.8382,0,0,0,0,0,0,0,0,0,0
2015-08-05,0.014133333,14.61772113,0,0.1,0,0,0,0,383.8689072,88.3718,6.17,0.0053,0,102.6964,24.7545,0.159,0.0526,0.0105,20.3402,29.4933,1.4651,2.9302,0.0139,0.3254,274.5926,13.186,0.1255,29.4933,0,0,0,0,0,0,0,0,0,0
2015-08-06,0.014133333,14.62369281,0,0.1,0,0,0,0,383.8689072,88.3986,6.17,0.006,0,102.6964,25.9344,0.1659,0.0526,0.0105,20.1023,29.1483,1.4223,2.8445,0.0136,0.3167,271.381,12.8003,0.1222,29.1483,0,0,0,0,0,0,0,0,0,0
2015-08-07,0.014133333,14.62966449,0,0.2,0,0,0,0,383.8689072,88.4254,6.17,0.0066,0,102.6964,27.1143,0.1728,0.0526,0.0105,19.8644,28.8034,1.3794,2.7588,0.0132,0.308,268.1694,12.4145,0.1188,28.8034,0,0,0,0,0,0,0,0,0,0
2015-08-08,0.014133333,14.63563617,0,0.2,0,0,0,0,511.8252096,88.4523,6.17,0.0073,0,102.6964,28.2943,0.1797,0.0526,0.0105,19.6265,28.4584,1.3365,2.673,0.0128,0.2993,264.9578,12.0287,0.1154,28.4584,0,0,0,0,0,0,0,0,0,0
2015-08-09,0.014133333,14.65368042,0,0.2,0,0,0,0,511.8252096,88.4791,6.17,0.0079,0,102.6964,29.4742,0.1866,0.0526,0.0105,19.3886,28.1135,1.2937,2.5873,0.0125,0.2906,261.7462,11.6429,0.1121,28.1135,0,0,0,0,0,0,0,0,0,0
2015-08-10,0.014133333,14.67172466,0,0.2,0,0,0,0,511.8252096,88.5059,6.17,0.0086,0,102.6964,30.6541,0.1935,0.0526,0.0105,19.1507,27.7685,1.2508,2.5016,0.0121,0.2818,258.5346,11.2571,0.1087,27.7685,0,0,0,0,0,0,0,0,0,0
2015-08-11,0.014133333,14.68976891,0,0.2,0,0,0,0,511.8252096,88.5327,6.17,0.0092,0,102.6964,29.878,0.1912,0.0534,0.0107,19.0318,27.5961,1.3225,2.6449,0.0117,0.2739,256.9287,11.9021,0.1056,27.5961,0,0,0,0,0,0,0,0,0,0
2015-08-12,0.014133333,14.70781316,0,0.2,0,0,0,0,511.8252096,88.5595,6.17,0.0099,0,102.6964,29.102,0.1889,0.0542,0.0108,18.9128,27.4236,1.3941,2.7882,0.0114,0.2659,255.3229,12.5471,0.1026,27.4236,0,0,0,0,0,0,0,0,0,0
2015-08-13,0.014133333,14.7258574,0,0.3,0,0,0,0,511.8252096,88.5864,6.17,0.0105,0,102.6964,28.3259,0.1866,0.0549,0.011,18.7939,27.2511,1.4658,2.9316,0.0111,0.258,253.7171,13.1921,0.0995,27.2511,0,0,0,0,0,0,0,0,0,0
2015-08-14,0.014133333,14.74390165,0,0.3,0,0,0,0,511.8252096,88.6132,6.17,0.0112,0,102.6964,27.5499,0.1843,0.0557,0.0111,18.6749,27.0786,1.5375,3.0749,0.0107,0.25,252.1113,13.8371,0.0964,27.0786,0,0,0,0,0,0,0,0,0,0
2015-08-15,0.014133333,14.7619459,0,0.3,0,0,0,0,511.8252096,88.64,6.17,0.0118,0,102.6964,26.7738,0.182,0.0564,0.0113,18.556,26.9061,1.6091,3.2182,0.0104,0.2421,250.5055,14.4821,0.0934,26.9061,0,0,0,0,0,0,0,0,0,0
2015-08-16,0.014133333,14.77999014,0,0.3,0,0,0,0,511.8252096,88.6668,6.17,0.0125,0,102.6964,25.9978,0.1797,0.0572,0.0114,18.437,26.7337,1.6808,3.3616,0.01,0.2341,248.8997,15.1271,0.0903,26.7337,0,0,0,0,0,0,0,0,0,0
2015-08-17,0.014133333,14.79803439,0,0.3,0,0,0,0,511.8252096,88.6936,6.17,0.0131,0,102.6964,25.2217,0.1774,0.0579,0.0116,18.3181,26.5612,1.7525,3.5049,0.0097,0.2262,247.2939,15.7721,0.0872,26.5612,0,0,0,0,0,0,0,0,0,0
2015-08-18,0.014133333,14.81607864,0,0.4,0,0,0,0,511.8252096,88.7205,6.17,0.0138,0,102.6964,24.4457,0.1751,0.0587,0.0117,18.437,26.7337,1.8017,3.6033,0.0105,0.2453,248.8997,16.215,0.0946,26.7337,0,0,0,0,0,0,0,0,0,0
2015-08-19,0.014133333,14.83412288,0,0.4,0,0,0,0,511.8252096,88.7473,6.17,0.0145,0,102.6964,23.6696,0.1728,0.0594,0.0119,18.556,26.9061,1.8509,3.7018,0.0113,0.2645,250.5055,16.658,0.102,26.9061,0,0,0,0,0,0,0,0,0,0
2015-08-20,0.014133333,14.85216713,0,0.4,0,0,0,0,511.8252096,88.7741,6.17,0.0151,0,102.6964,22.8936,0.1705,0.0602,0.012,18.6749,27.0786,1.9001,3.8002,0.0122,0.2837,252.1113,17.1009,0.1094,27.0786,0,0,0,0,0,0,0,0,0,0
2015-08-21,0.014133333,14.87021138,0,0.4,0,0,0,0,511.8252096,88.8009,6.17,0.0158,0,102.6964,22.1175,0.1682,0.0609,0.0122,18.7939,27.2511,1.9493,3.8986,0.013,0.3029,253.7171,17.5439,0.1168,27.2511,0,0,0,0,0,0,0,0,0,0
2015-08-22,0.014133333,14.88825563,0,0.4,0,0,0,0,511.8252096,88.8277,6.17,0.0164,0,102.6964,21.3415,0.1659,0.0617,0.0123,18.9128,27.4236,1.9985,3.9971,0.0138,0.322,255.3229,17.9868,0.1242,27.4236,0,0,0,0,0,0,0,0,0,0
2015-08-23,0.014133333,14.90629987,0,0.5,0,0,0,0,511.8252096,88.8546,6.17,0.0171,0,102.6964,20.5654,0.1636,0.0624,0.0125,19.0318,27.5961,2.0478,4.0955,0.0146,0.3412,256.9287,18.4298,0.1316,27.5961,0,0,0,0,0,0,0,0,0,0
2015-08-24,0.014133333,14.92434412,0,0.5,0,0,0,0,511.8252096,88.8814,6.17,0.0177,0,102.6964,19.7894,0.1613,0.0632,0.0126,19.1507,27.7685,2.097,4.1939,0.0154,0.3604,258.5346,18.8727,0.139,27.7685,0,0,0,0,0,0,0,0,0,0
2015-08-25,0.014133333,14.94238837,0,0.5,0,0,0,0,511.8252096,88.9082,6.17,0.0184,0,102.6964,23.9785,0.1843,0.0617,0.0123,19.2697,27.941,2.0989,4.1979,0.015,0.3498,260.1404,18.8904,0.1349,27.941,0,0,0,0,0,0,0,0,0,0
2015-08-26,0.014133333,14.96043261,0,0.5,0,0,0,0,511.8252096,88.935,6.17,0.019,0,102.6964,28.1676,0.2074,0.0602,0.012,19.3886,28.1135,2.1009,4.2018,0.0145,0.3392,261.7462,18.9081,0.1308,28.1135,0,0,0,0,0,0,0,0,0,0
2015-08-27,0.014133333,14.97847686,0,0.5,0,0,0,0,511.8252096,88.9618,6.17,0.0197,0,102.6964,32.3567,0.2304,0.0587,0.0117,19.5076,28.286,2.1029,4.2057,0.0141,0.3286,263.352,18.9258,0.1268,28.286,0,0,0,0,0,0,0,0,0,0
2015-08-28,0.014133333,14.99652111,0,0.1,0,0,0,0,511.8252096,88.9887,6.17,0.0203,0,102.6964,36.5458,0.2535,0.0572,0.0114,19.6265,28.4584,2.1048,4.2097,0.0136,0.3181,264.9578,18.9434,0.1227,28.4584,0,0,0,0,0,0,0,0,0,0
2015-08-29,0.014133333,15.01456535,0,0.1,0,0,0,0,511.8252096,89.0155,6.17,0.021,0,102.6964,40.7349,0.2765,0.0557,0.0111,19.7455,28.6309,2.1068,4.2136,0.0132,0.3075,266.5636,18.9611,0.1186,28.6309,0,0,0,0,0,0,0,0,0,0
2015-08-30,0.014133333,15.0326096,0,0.1,0,0,0,0,511.8252096,89.0423,6.17,0.0216,0,102.6964,44.924,0.2995,0.0542,0.0108,19.8644,28.8034,2.1088,4.2175,0.0127,0.2969,268.1694,18.9788,0.1145,28.8034,0,0,0,0,0,0,0,0,0,0
2015-08-31,0.014133333,15.05065385,0,0.1,0,0,0,0,511.8252096,89.0691,6.17,0.0223,0,102.6964,49.1131,0.3226,0.0526,0.0105,19.9833,28.9759,2.1107,4.2214,0.0123,0.2864,269.7752,18.9965,0.1105,28.9759,0,0,0,0,0,0,0,0,0,0
2015-09-01,0.014133333,15.07675885,0,0.1,0,0,0,0,511.8252096,89.0959,6.17,0.0243,0,102.6964,48.1153,0.3479,0.0542,0.0108,20.1023,29.1483,2.0466,4.0932,0.0131,0.305,271.381,18.4194,0.1176,29.1483,0,0,0,0,0,0,0,0,0,0
